"zpid","city","zipcode","propertyTaxRate","garageSpaces","hasAssociation","hasCooling","hasGarage","hasHeating","hasSpa","hasView","homeType","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
111373431,"pflugerville",78660,1.98,2,1,1,1,1,0,0,"1",2,2012,305000,5,2019-09-02,9,2019,39,0,5,2,1,3,0,1,0,6011,2601,1,0,1,1,1.26666666666667,2.66666666666667,1063,14,3,4,2
120900430,"pflugerville",78660,1.98,2,1,1,1,1,0,0,"1",2,2013,295000,1,2020-10-13,10,2020,29,0,1,2,0,0,0,0,0,6185,1768,1,0,1,1,1.4,2.66666666666667,1063,14,2,4,1
2084491383,"pflugerville",78660,1.98,0,1,1,0,1,0,0,"1",0,2018,256125,1,2019-07-31,7,2019,2,0,4,1,0,1,0,0,0,7840,1478,0,2,1,1,1.2,3,1108,14,2,3,1
120901374,"pflugerville",78660,1.98,2,1,1,1,1,0,0,"1",2,2013,240000,4,2018-08-08,8,2018,9,0,0,2,0,0,0,0,0,6098,1678,1,0,1,1,1.4,2.66666666666667,1063,14,2,3,1
60134862,"pflugerville",78660,1.98,0,1,1,0,1,0,0,"1",0,2002,239900,3,2018-10-31,10,2018,27,0,0,1,0,0,0,0,0,6708,2132,1,0,1,1,1.13333333333333,4,1223,14,3,3,2
2080105342,"pflugerville",78660,1.98,2,1,1,1,1,0,0,"1",2,2020,309045,2,2020-08-05,8,2020,2,0,3,1,2,2,0,0,0,5161,1446,1,0,1,1,1.06666666666667,4,1223,14,2,3,1
241932337,"pflugerville",78660,1.98,0,1,0,0,0,0,0,"1",0,2016,315000,2,2020-06-11,6,2020,36,0,3,1,0,0,0,0,0,12196.8,2432,1,0,1,1,1.23333333333333,3.66666666666667,1051,12,3,4,2
60134835,"pflugerville",78660,1.98,0,1,1,0,1,0,0,"1",0,2002,219900,2,2018-10-10,10,2018,21,0,3,1,0,0,0,0,0,5140,1422,1,0,1,1,1.16666666666667,4,1223,14,3,3,2
60134833,"pflugerville",78660,1.98,0,1,1,0,1,0,0,"1",0,2002,225000,1,2019-09-19,9,2019,16,0,2,1,1,1,0,0,0,3811,1870,1,0,1,1,1.16666666666667,4,1223,14,2,3,2
83827468,"del valle",78617,1.98,2,1,1,1,1,0,0,"1",2,2013,194800,1,2018-09-11,9,2018,23,0,3,2,0,0,0,0,0,5183,1422,1,0,1,1,1.2,3,1615,14,3,3,2
241932327,"pflugerville",78660,1.98,2,1,1,1,1,0,0,"1",2,2016,279900,2,2020-08-28,8,2020,32,0,3,2,0,3,0,0,0,5401,1580,1,0,1,1,1.2,3.66666666666667,1051,12,2,3,1
241930967,"del valle",78617,1.98,0,1,1,0,1,0,0,"1",0,2016,250000,1,2019-04-12,4,2019,37,0,4,1,0,0,0,0,0,4965,2281,1,0,1,1,1.2,3,1615,14,3,3,2
69808966,"del valle",78617,1.98,2,1,1,1,1,0,1,"1",2,2005,239900,9,2020-09-05,9,2020,28,0,4,2,1,0,0,0,0,6011,1762,1,0,1,1,0.633333333333333,3.33333333333333,1626,14,2,4,1
64520966,"del valle",78617,1.98,0,1,1,0,1,0,0,"1",0,2003,2e+05,1,2018-12-15,12,2018,16,0,4,1,0,0,0,0,0,6926,1326,1,0,1,1,1.83333333333333,3,1615,14,2,3,1
83813460,"del valle",78617,1.98,2,1,1,1,1,0,0,"1",2,2010,131679,5,2020-08-18,8,2020,54,0,2,2,1,1,0,0,0,10846,1655,1,0,1,1,1.23333333333333,3,1615,14,3,3,2
29470450,"del valle",78617,1.98,2,1,1,1,1,0,0,"1",2,2000,2e+05,1,2020-06-02,6,2020,25,0,4,2,3,1,0,1,0,6621,1228,1,0,1,1,1.46666666666667,3,1615,14,2,3,1
70341946,"del valle",78617,1.98,2,1,1,1,1,0,0,"1",2,2009,212000,5,2019-02-27,2,2019,26,0,3,2,0,0,0,0,0,10802,1752,1,0,1,1,0.566666666666667,3.33333333333333,1626,14,2,4,1
116080992,"austin",78717,2.21,0,1,1,0,1,0,0,"1",0,2014,687850,13,2018-08-28,8,2018,40,0,4,2,0,0,0,0,0,10672,4564,1,0,1,1,3.26666666666667,7.66666666666667,1259,14,6,5,2
88013985,"austin",78717,2.21,2,1,1,1,1,0,1,"1",2,2007,409000,4,2018-12-03,12,2018,31,0,6,3,0,0,0,0,0,9060,3233,1,0,1,1,1.93333333333333,8.33333333333333,1481,16,4,5,2
70344594,"austin",78724,1.98,2,0,1,1,1,0,0,"1",2,2006,199000,3,2020-12-22,12,2020,21,1,2,2,1,0,0,0,0,7448,1511,1,0,1,1,2.43333333333333,2.66666666666667,1478,13,2,3,1
185217484,"austin",78717,2.21,0,1,1,0,1,0,0,"1",0,2008,4e+05,2,2020-01-10,1,2020,20,0,3,2,0,0,0,0,0,7666,2228,1,0,1,1,1.9,8.33333333333333,1481,16,2,3,1
121719682,"austin",78717,2.21,2,1,1,1,1,0,0,"2",0,2015,699000,1,2020-12-07,12,2020,36,0,7,2,2,0,0,0,1,10890,4020,1,0,1,1,3.26666666666667,7.66666666666667,1259,14,4,4,2
116080981,"austin",78717,2.21,2,1,1,1,1,0,0,"1",2,2013,549900,2,2018-03-13,3,2018,69,0,4,3,0,0,0,0,0,8494,3494,1,0,1,1,3.3,7.66666666666667,1259,14,5,4,2
83822421,"austin",78747,1.98,2,0,1,1,1,0,0,"3",2,2007,350000,6,2019-03-29,3,2019,27,0,3,2,0,0,0,0,0,107593.2,1216,1,0,1,1,5.2,3.33333333333333,1557,14,5,8,1
29462564,"austin",78725,1.98,2,0,1,1,1,0,0,"1",2,1999,240000,2,2020-12-31,12,2020,10,0,4,2,2,0,0,0,0,5183,1534,1,0,1,1,1.8,3,1457,13,3,3,1
70355992,"austin",78725,1.98,2,1,1,1,1,0,0,"1",2,2013,249900,1,2020-12-04,12,2020,35,2,3,2,1,1,0,0,0,7405,1738,1,0,1,1,1.96666666666667,3,1457,13,2,3,1
89659978,"austin",78717,2.21,3,1,1,1,1,0,0,"1",3,2010,4e+05,2,2020-04-22,4,2020,21,0,3,3,2,1,0,1,0,12196.8,2630,1,0,1,1,2.03333333333333,8.33333333333333,1481,16,3,5,2
70355990,"austin",78725,1.98,2,1,1,1,1,0,0,"1",2,2012,2e+05,1,2018-01-30,1,2018,33,0,5,2,0,0,0,0,0,8145,1652,1,0,1,1,1.96666666666667,3,1457,13,2,3,1
70333917,"austin",78726,1.98,2,1,1,1,1,0,1,"1",2,2004,875000,2,2020-11-09,11,2020,38,0,8,2,4,1,0,0,0,30056.4,3402,1,0,1,1,2.06666666666667,7,1277,16,4,4,2
29471292,"austin",78747,1.98,2,0,1,1,1,0,0,"1",2,1970,164995,4,2020-10-27,10,2020,29,0,1,2,2,2,0,1,0,102366,2350,1,0,1,1,4.76666666666667,3.33333333333333,1557,14,2,3,1
241932966,"austin",78744,1.98,2,1,1,1,1,0,0,"1",2,2016,287500,2,2019-04-18,4,2019,40,0,4,2,0,0,0,0,0,6141,1634,1,0,1,1,2.9,3.66666666666667,1532,12,2,3,1
116080975,"austin",78717,2.21,2,1,1,1,1,0,0,"1",2,2013,650000,1,2020-03-25,3,2020,1,0,3,3,1,0,0,2,0,8363,3047,1,0,1,1,3.3,7.66666666666667,1259,14,4,4,1
145656987,"austin",78725,1.98,0,1,1,0,1,0,0,"1",0,2015,196000,1,2019-01-10,1,2019,29,0,7,1,0,0,0,0,0,5532,1399,1,0,1,1,1.93333333333333,3,1457,13,2,3,1
83821490,"austin",78747,1.98,0,0,0,0,1,0,0,"1",0,1985,239999,5,2018-08-23,8,2018,35,0,1,0,0,0,0,0,0,411206.4,1264,1,0,1,1,5.36666666666667,3.33333333333333,1557,14,2,3,1
70333915,"austin",78726,1.98,0,1,1,0,1,0,0,"1",0,2005,830000,5,2019-09-17,9,2019,37,0,4,1,1,3,0,1,0,19166.4,3573,1,0,1,1,2,7,1277,16,5,4,2
29462467,"austin",78725,1.98,0,1,1,0,1,0,0,"1",0,2000,219990,1,2019-06-07,6,2019,24,0,4,1,0,1,0,0,0,6229,2035,1,0,1,1,1.76666666666667,3,1457,13,3,3,2
89548387,"austin",78725,1.98,0,1,1,0,1,0,0,"1",0,2009,195000,1,2019-03-28,3,2019,26,0,4,1,0,0,0,0,0,6751,1304,1,0,1,1,3.26666666666667,3,1457,13,2,3,1
29366912,"austin",78732,1.98,7,1,1,1,1,1,1,"1",7,2005,4250000,7,2018-08-15,8,2018,40,0,7,2,0,0,0,0,0,106286.4,7284,1,0,1,1,4.1,7,1277,16,7,7,2
241932964,"austin",78744,1.98,2,1,1,1,1,0,0,"1",2,2016,309999,1,2018-03-26,3,2018,31,0,7,2,0,0,0,0,0,7100,1907,1,0,1,1,2.9,3.66666666666667,1532,12,3,3,2
29376494,"austin",78726,1.98,2,1,1,1,1,0,0,"1",2,1988,427000,5,2020-03-04,3,2020,8,0,2,2,2,2,0,1,0,10890,2484,1,0,1,1,1.23333333333333,8,1275,15,3,4,2
69808963,"austin",78725,1.98,0,1,1,0,1,0,0,"1",0,2006,205000,2,2018-01-25,1,2018,24,0,6,1,0,0,0,0,0,4399,2088,1,0,1,1,1.9,3,1457,13,3,4,1
121656950,"austin",78747,1.98,0,0,1,0,1,0,0,"1",0,2013,3e+05,4,2018-11-30,11,2018,31,0,2,0,0,0,0,0,0,43560,2100,1,0,1,1,4.9,3.66666666666667,1532,12,3,4,1
185217474,"austin",78717,2.21,0,1,1,0,1,0,1,"1",0,2008,344600,3,2019-09-05,9,2019,41,0,5,2,2,0,0,2,0,6786,2134,1,0,1,1,2,8.33333333333333,1481,16,3,3,2
29366911,"austin",78732,1.98,2,0,1,1,1,1,1,"1",2,1992,3395000,9,2020-07-10,7,2020,56,0,4,3,3,0,2,0,0,86684.4,4747,1,0,1,1,4.16666666666667,7,1277,16,5,5,1
145657963,"austin",78744,1.98,2,1,1,1,1,0,0,"1",2,2015,399900,1,2020-06-26,6,2020,40,0,4,2,1,4,0,0,0,8537,2629,1,0,1,1,3.13333333333333,3.66666666666667,1532,12,3,3,1
29370494,"austin",78750,1.98,2,0,1,1,1,1,0,"1",2,1991,648000,6,2020-11-30,11,2020,50,0,6,2,2,2,0,0,0,11325.6,2567,1,0,1,1,1.16666666666667,9,1616,16,3,4,2
89548844,"austin",78725,1.98,0,1,1,0,1,0,0,"1",0,2009,186500,1,2018-02-01,2,2018,6,0,3,1,0,0,0,0,0,7797,1420,1,0,1,1,3.3,3,1457,13,2,3,1
125901465,"austin",78725,1.98,2,1,1,1,1,0,0,"1",2,2015,219000,1,2020-04-03,4,2020,28,0,5,2,1,1,0,0,0,4617,1267,1,0,1,1,1.9,3,1457,13,2,3,1
63228462,"austin",78725,1.98,0,1,1,0,1,0,0,"1",0,2004,179900,1,2018-03-22,3,2018,25,0,0,1,0,0,0,0,0,5924,1194,1,0,1,1,1.83333333333333,3,1457,13,2,3,1
96639474,"austin",78729,2.21,0,1,1,0,1,0,0,"1",0,2011,405000,1,2020-02-18,2,2020,28,0,3,2,2,1,0,1,0,5619,2142,1,0,1,1,2.3,6,1228,14,2,3,1
80094409,"austin",78732,1.98,5,1,1,1,1,0,1,"1",5,2006,2950000,4,2019-10-17,10,2019,40,0,4,4,0,0,0,0,0,68389.2,9591,1,0,1,1,3.53333333333333,7,1277,16,7,5,2
64431038,"austin",78747,1.98,0,0,1,0,1,0,1,"1",0,1993,565000,1,2019-08-01,8,2019,25,0,2,1,3,2,0,0,0,1001880,2169,1,0,1,1,4.63333333333333,3.33333333333333,1557,14,3,3,2
89547842,"austin",78725,1.98,0,1,1,0,1,0,0,"1",0,2014,194098,1,2019-03-06,3,2019,9,0,5,1,0,0,0,0,0,5445,1296,1,0,1,1,3.33333333333333,3,1457,13,2,3,1
251030464,"austin",78724,1.98,1,1,1,1,1,0,0,"1",1,2018,255700,2,2019-04-05,4,2019,22,0,3,2,0,0,0,0,0,6098,2570,1,0,1,1,2.2,2.66666666666667,1478,13,3,4,2
29376491,"austin",78726,1.98,0,1,1,0,1,0,0,"1",0,1989,495000,1,2019-06-07,6,2019,1,0,3,1,0,0,0,0,0,9147,3140,1,0,1,1,1.23333333333333,8,1275,15,3,5,2
